sample_date,date,ID,dapnia_count,juveniles,grown,resting_stages
3/31/2016,APRIL1,1,10,0,0,0
3/31/2016,APRIL1,2,6,0,0,0
3/31/2016,APRIL1,3,5,0,0,0
3/31/2016,APRIL1,4,3,0,0,0
3/31/2016,APRIL1,5,2,0,0,0
3/31/2016,APRIL1,6,5,0,0,0
3/31/2016,APRIL1,7,3,0,0,0
3/31/2016,APRIL1,8,4,0,0,0
3/31/2016,APRIL1,9,6,0,0,0
3/31/2016,APRIL1,10,6,0,0,0
3/31/2016,APRIL1,11,5,0,0,0
3/31/2016,APRIL1,12,5,0,0,0
3/31/2016,APRIL1,13,7,0,0,0
3/31/2016,APRIL1,14,6,0,0,0
3/31/2016,APRIL1,15,8,0,0,0
3/31/2016,APRIL1,16,5,0,0,0
3/31/2016,APRIL1,17,6,0,0,0
3/31/2016,APRIL1,18,7,0,0,0
3/31/2016,APRIL1,19,6,0,0,0
3/31/2016,APRIL1,20,4,0,0,0
3/31/2016,APRIL1,21,4,0,0,0
3/31/2016,APRIL1,22,5,0,0,0
3/31/2016,APRIL1,23,8,0,0,0
3/31/2016,APRIL1,24,6,0,0,0
3/31/2016,APRIL1,25,6,0,0,0
3/31/2016,APRIL1,26,5,0,0,0
3/31/2016,APRIL1,27,6,0,0,0
3/31/2016,APRIL1,28,7,0,0,0
3/31/2016,APRIL1,29,7,0,0,0
3/31/2016,APRIL1,30,7,0,0,0
3/31/2016,APRIL1,31,5,0,0,0
3/31/2016,APRIL1,32,9,0,0,0
3/31/2016,APRIL1,33,3,0,0,0
3/31/2016,APRIL1,34,5,0,0,0
3/31/2016,APRIL1,35,9,0,0,0
3/31/2016,APRIL1,36,7,0,0,0
3/31/2016,APRIL1,37,8,0,0,0
3/31/2016,APRIL1,38,6,0,0,0
3/31/2016,APRIL1,39,5,0,0,0
3/31/2016,APRIL1,40,7,0,0,0
3/31/2016,APRIL1,41,5,0,0,0
3/31/2016,APRIL1,42,5,0,0,0
3/31/2016,APRIL1,43,5,0,0,0
3/31/2016,APRIL1,44,5,0,0,0
3/31/2016,APRIL1,45,3,0,0,0
3/31/2016,APRIL1,46,3,0,0,0
3/31/2016,APRIL1,47,5,0,0,0
3/31/2016,APRIL1,48,4,0,0,0
4/5/2016,APRIL5,1,10,0,0,0
4/5/2016,APRIL5,2,7,0,0,0
4/5/2016,APRIL5,3,4,0,0,0
4/5/2016,APRIL5,4,5,0,0,0
4/5/2016,APRIL5,5,3,0,0,0
4/5/2016,APRIL5,5,2,0,0,0
4/5/2016,APRIL5,6,5,0,0,0
4/5/2016,APRIL5,7,29,0,0,0
4/5/2016,APRIL5,8,17,0,0,0
4/5/2016,APRIL5,9,23,0,0,0
4/5/2016,APRIL5,9,23,0,0,0
4/5/2016,APRIL5,10,9,0,0,0
4/5/2016,APRIL5,11,24,0,0,0
4/5/2016,APRIL5,12,37,0,0,0
4/5/2016,APRIL5,13,5,0,0,0
4/5/2016,APRIL5,14,4,0,0,0
4/5/2016,APRIL5,15,6,0,0,0
4/5/2016,APRIL5,16,5,0,0,0
4/5/2016,APRIL5,17,6,0,0,0
4/5/2016,APRIL5,18,6,0,0,0
4/5/2016,APRIL5,19,6,0,0,0
4/5/2016,APRIL5,20,4,0,0,0
4/5/2016,APRIL5,21,5,0,0,0
4/5/2016,APRIL5,22,5,0,0,0
4/5/2016,APRIL5,23,7,0,0,0
4/5/2016,APRIL5,24,5,0,0,0
4/5/2016,APRIL5,25,35,0,0,0
4/5/2016,APRIL5,26,35,0,0,0
4/5/2016,APRIL5,27,24,0,0,0
4/5/2016,APRIL5,28,17,0,0,0
4/5/2016,APRIL5,29,37,0,0,0
4/5/2016,APRIL5,30,29,0,0,0
4/5/2016,APRIL5,31,38,0,0,0
4/5/2016,APRIL5,32,88,0,0,0
4/5/2016,APRIL5,33,62,0,0,0
4/5/2016,APRIL5,34,43,0,0,0
4/5/2016,APRIL5,35,33,0,0,0
4/5/2016,APRIL5,36,43,0,0,0
4/5/2016,APRIL5,37,8,0,0,0
4/5/2016,APRIL5,38,5,0,0,0
4/5/2016,APRIL5,39,5,0,0,0
4/5/2016,APRIL5,40,8,0,0,0
4/5/2016,APRIL5,41,5,0,0,0
4/5/2016,APRIL5,42,4,0,0,0
4/5/2016,APRIL5,43,4,0,0,0
4/5/2016,APRIL5,44,6,0,0,0
4/5/2016,APRIL5,45,4,0,0,0
4/5/2016,APRIL5,46,8,0,0,0
4/5/2016,APRIL5,47,5,0,0,0
4/5/2016,APRIL5,48,3,0,0,0
4/8/2016,APRIL8,1,0,0,0,0
4/8/2016,APRIL8,2,1,0,0,0
4/8/2016,APRIL8,3,1,0,0,0
4/8/2016,APRIL8,4,3,0,0,0
4/8/2016,APRIL8,5,2,0,0,0
4/8/2016,APRIL8,6,2,0,0,0
4/8/2016,APRIL8,7,24,0,0,0
4/8/2016,APRIL8,8,3,0,0,0
4/8/2016,APRIL8,9,14,0,0,0
4/8/2016,APRIL8,10,2,0,0,0
4/8/2016,APRIL8,11,35,0,0,0
4/8/2016,APRIL8,11,10,0,0,0
